0.210667,0.472746,0.406522,0.542836,0.717245,0.01027,0.655707,0.42144,0.394809,0.016953,class2
0.78975,0.818402,0.482535,0.33243,0.312859,0.044487,0.518325,0.307054,0.641238,0.996146,class2
0.686673,-0.242246,1.115249,0.140746,0.948505,0.391854,0.563661,-0.6701,-0.328375,0.886832,class1
0.149203,0.883357,0.694208,0.802227,0.658106,0.167437,1.059972,0.227208,0.004756,0.61412,class1
0.09425,0.928074,0.725288,0.76438,0.69812,0.141896,0.980158,0.150287,0.020473,0.694785,class1
-0.047901,0.175047,0.71227,0.804798,0.440796,0.700788,0.169473,0.315841,0.447556,0.384565,class1
0.268371,0.407562,0.135157,1.056337,0.474669,0.991713,0.833651,0.691481,0.850322,0.559689,class2
0.748509,0.744754,0.854436,0.537058,0.264723,0.743351,0.697699,0.070522,0.521292,0.81422,class2
0.601763,0.711158,0.335415,0.917229,0.15671,0.947365,0.723226,0.4876,0.869757,0.980004,class2
0.27672,0.30353,0.454327,0.744039,0.619435,0.889142,0.448011,0.077937,0.929948,0.5667,class2
0.201096,0.210983,0.300134,0.969248,0.507479,0.985807,0.870428,0.856668,0.970336,0.641177,class2
-0.060619,0.175769,0.79655,0.754294,0.597577,0.873359,0.118868,0.576317,1.012674,0.209272,class1
0.473707,0.083231,0.545323,0.060545,0.634099,0.87866,0.785434,-0.013802,0.052006,0.457558,class1
0.556623,0.515603,0.329765,0.230784,0.167445,0.634715,0.613741,1.054161,0.425318,1.056983,class2
0.525743,0.773419,0.747769,0.154322,0.276863,-0.260769,1.104672,-0.590303,-0.217305,1.068398,class1
0.283947,0.472255,0.270593,0.627227,0.97465,0.91695,0.232702,0.086201,0.736951,0.596795,class2
0.203096,0.448808,0.428786,0.520492,0.702253,0.024053,0.639775,0.434465,0.386541,0.006949,class2
-0.012666,0.681333,0.69411,0.602198,0.364834,0.895018,0.806946,0.189401,0.461364,0.73611,class1
1.2576,-0.133881,0.716476,0.42056,1.378064,0.416514,1.337225,1.301204,1.486509,1.071007,class1
0.369338,0.45352,0.342832,0.43498,0.498141,0.993442,0.627158,0.916867,0.4972,0.498879,class1
0.524779,-0.03075,0.39461,0.18079,0.809825,0.10652,0.564472,0.495609,0.434421,0.503558,class2
0.277966,0.533721,0.366644,0.573115,0.291517,0.933503,0.18091,0.423869,0.088955,0.793811,class1
0.07138,1.241626,0.905233,0.239111,0.525996,1.139242,1.105652,0.553431,0.196455,0.902176,class1
0.520481,0.949939,0.497408,0.592541,0.158107,0.562394,0.083154,0.337191,0.093612,0.679534,class1
0.337197,1.024587,0.284133,1.146092,0.518578,0.656193,0.359382,0.381645,0.319246,1.090818,class2
0.380245,0.386851,0.4145,0.04083,0.712187,0.573395,0.455575,0.473324,0.448142,0.484374,class1
0.251279,0.471363,0.277741,0.606493,0.930117,0.873977,0.225241,0.057412,0.770014,0.547799,class2
-0.403797,0.249017,0.964902,0.77515,0.284941,0.453699,0.559326,-0.048726,0.893596,-0.050292,class1
1.055796,0.649968,0.039221,0.699363,0.603039,0.175883,0.66347,1.030708,0.059156,0.231862,class2
0.888152,0.677271,0.150033,0.555129,0.445905,-0.000414,0.596693,0.093282,0.53672,1.05432,class2
0.134978,0.730007,0.69423,0.994539,0.617103,0.537653,-0.119048,0.613298,0.74611,0.864567,class1
0.48308,0.79682,0.800956,0.583839,0.577627,0.122713,0.301018,0.437707,0.251526,0.671381,class2
0.072732,0.04034,0.53005,0.758199,0.382549,1.181538,1.045877,1.133409,1.1436,0.290785,class2
0.312751,0.110031,0.326945,0.252988,0.769819,1.011362,0.212181,-0.2861,0.68079,0.884982,class2
0.473135,1.087597,0.272901,0.83549,0.356442,0.542181,0.472806,0.877172,0.431126,-0.081733,class2
0.075066,0.557947,0.477829,0.775043,1.074466,0.599886,0.315564,-0.045468,0.952402,0.663169,class2
0.320306,0.468211,0.959466,0.748151,0.395085,0.617262,0.505718,-0.108341,0.559997,0.662174,class1
0.134343,0.22156,0.5631,0.475236,0.593568,0.888416,0.093641,0.250509,0.714104,0.368375,class1
0.358922,0.932753,0.54296,0.688186,0.247407,0.346445,0.005323,0.293831,0.259159,0.69228,class1
0.756815,0.366212,0.656864,0.829139,0.298191,0.552551,0.329815,0.952125,0.748915,0.41811,class1
-0.305649,0.934891,0.319799,0.771874,0.528242,0.596892,-0.012974,0.318283,1.094151,0.630976,class1
0.846753,0.805064,0.175843,0.753121,0.666412,0.327727,0.588911,0.823146,0.093115,0.16388,class2
0.183184,0.925397,0.040376,0.40888,0.305152,0.362457,0.335536,0.502979,0.704083,0.26791,class2
1.441448,0.840482,0.389587,1.766543,0.760876,0.168834,-0.127776,1.030962,0.663639,-0.381123,class1
0.979372,0.697244,0.16164,0.772632,0.621936,0.344041,0.673327,0.992703,0.101017,0.073806,class2
0.088566,0.778641,0.586398,0.552356,0.519918,0.952788,0.66459,0.238499,0.586879,0.78552,class1
0.461782,1.147241,0.777674,0.812011,0.330607,0.477647,0.135353,0.158709,0.150818,0.859523,class1
0.428572,0.299287,0.228115,0.528803,0.84701,0.95411,0.417852,0.127653,-0.017462,0.604147,class1
0.761364,0.425225,0.494874,0.790056,0.374047,0.558471,0.275126,0.960267,0.612846,0.309845,class1
-0.054882,-0.052475,0.716456,0.471232,0.151908,1.137563,-0.095974,0.265315,1.324323,-0.092056,class1
0.819635,0.221026,0.076268,0.484725,0.019026,0.667609,0.905316,0.994678,0.844834,0.559414,class2
0.872619,0.636084,0.806036,0.256384,0.301436,0.835882,0.053441,0.89201,0.445661,0.78974,class2
0.065789,0.256592,0.096461,1.000616,0.608355,1.008352,1.066122,0.960939,0.753809,0.696645,class2
-0.711343,0.930259,0.24553,0.712059,1.301222,0.06669,1.718048,0.873208,0.791126,1.548111,class1
0.102651,-0.194439,1.200732,0.286218,0.810053,1.225724,-0.343175,0.416303,1.495987,-0.260177,class1
0.03971,0.834612,0.541219,0.944555,0.690176,0.621587,0.03646,0.508697,0.833061,0.74944,class1
1.028178,1.045026,0.189722,0.461761,0.140969,0.079996,0.477235,0.103997,0.551251,1.079893,class2
0.619888,0.896023,0.593947,0.739005,0.561971,-0.046662,1.148127,0.972684,0.540244,0.200899,class1
0.190931,0.764955,0.220848,0.33945,0.470834,0.37114,0.164375,0.563386,0.720361,0.187535,class2
0.281803,0.090156,0.398298,0.413412,0.906357,0.866545,0.40291,0.128772,0.003906,0.807699,class1
0.296252,0.630038,0.988765,0.906917,0.18073,0.862245,0.104795,0.875944,0.330272,0.254489,class1
0.922574,0.390625,0.175564,0.144725,0.489944,0.885686,0.406979,0.527985,0.643556,0.152441,class1
0.294764,0.677965,0.00463,-0.144939,0.448538,0.735553,0.93258,-0.088789,0.952169,0.154258,class1
-0.111782,0.706896,0.26634,1.092973,0.562455,-0.061463,0.670126,0.645117,0.907215,0.688067,class2
-0.027861,0.334262,0.106914,0.95444,0.534837,1.205768,1.012016,0.740893,0.643825,0.730472,class2
0.196416,0.472971,0.200021,0.704645,0.967388,0.938378,0.302755,0.096344,0.706193,0.452566,class2
0.021551,0.166729,0.518451,0.858851,0.935503,0.482009,0.156122,-0.005457,0.671159,0.189475,class2
1.198962,-0.215071,0.48036,1.191572,0.818427,0.042188,0.430246,0.396638,0.521817,0.356191,class2
0.198419,0.444213,0.442848,0.517898,0.689983,0.042587,0.632343,0.426135,0.397965,0.018193,class2
0.213467,0.746757,0.102804,0.001992,0.380047,0.699345,0.626825,0.136733,0.681464,-0.051307,class1
0.388436,0.999814,0.626911,0.684084,0.199513,0.390309,0.031081,0.282006,0.197277,0.728075,class1
0.527625,-0.05304,0.925877,0.697535,0.874952,0.247067,0.07934,0.24154,0.541084,-0.282043,class2
0.178568,0.203095,0.257088,1.042975,0.533889,0.954837,0.934734,0.860749,0.955438,0.666089,class2
0.745344,0.734836,0.857664,0.539277,0.274585,0.75056,0.695787,0.06151,0.513406,0.815574,class2
0.863697,0.240947,0.150331,0.454251,-0.012151,0.607313,0.864973,0.974317,0.801596,0.491016,class2
0.453301,0.300693,0.421476,0.700077,0.364434,1.018721,0.751688,0.031735,0.641571,0.858327,class2
0.181846,1.043028,0.046778,0.858424,-0.190216,0.534406,0.422618,1.159661,0.611597,-0.053168,class2
0.753985,0.719223,0.828856,0.537105,0.252603,0.727802,0.702861,0.048485,0.523413,0.799871,class2
1.109921,0.642319,0.298661,0.608201,0.074212,0.017032,0.239769,-0.045272,0.327182,0.881255,class2
0.026801,0.970275,0.965888,0.535406,0.669882,0.381256,1.119291,0.331109,0.045867,0.482388,class1
0.008202,0.451875,-0.061605,0.768597,0.598321,1.195448,0.717319,0.531611,1.140452,0.413122,class2
0.415326,0.823763,0.485197,0.051303,0.37503,0.565541,0.843415,0.979614,0.429964,0.771169,class2
0.247684,0.435745,0.62334,0.34289,0.907584,0.235099,0.296859,-0.009333,1.013631,0.568828,class2
0.889882,0.64523,0.933255,1.109737,0.368255,0.980787,0.453249,0.745277,0.53832,0.379027,class1
0.464959,0.383224,0.790317,0.979934,0.155574,0.603853,0.477552,0.706605,0.676286,0.594048,class1
0.35912,0.149655,0.382659,0.748969,0.342193,0.952505,0.707412,0.015879,0.542817,1.003707,class2
0.734966,0.664818,0.736233,0.128705,0.423427,0.961534,0.195155,1.084418,0.484028,0.617063,class2
0.728441,1.111569,0.564892,0.457337,0.712216,-0.405894,0.725205,1.075873,0.542078,0.653336,class1
0.478344,0.073466,0.565086,0.71145,0.251594,0.816023,0.163258,1.02375,0.566904,0.517209,class1
0.281845,0.568819,1.184127,0.706231,0.323252,1.042991,-0.123233,0.728824,1.054007,0.130113,class1
1.205561,0.535015,0.902937,0.573696,0.383917,0.15899,0.454187,0.734927,1.15706,-0.132901,class1
0.413988,0.942977,0.607153,0.675425,0.256939,0.45339,0.087874,0.285208,0.213477,0.654709,class1
0.331001,0.169122,0.202109,0.227493,0.886363,0.896615,0.56023,0.196428,0.161587,0.671183,class1
0.263082,0.525188,0.267256,0.79869,0.931309,0.614217,-0.110103,0.312614,0.850486,0.536156,class1
0.799206,0.672904,0.829028,0.598821,0.223264,0.803301,0.732102,0.04148,0.516554,0.824977,class2
0.226219,0.420844,0.532173,1.123621,0.68457,0.631591,0.372096,0.005052,0.207607,0.283977,class1
0.729396,0.760171,0.841606,0.516512,0.283192,0.757595,0.696698,0.057883,0.538701,0.832789,class2
1.017372,0.427442,0.529027,-0.214039,0.678272,0.472165,0.033,0.72572,0.509173,1.37405,class2
0.217139,0.579554,0.700701,0.328287,0.167729,0.164503,0.438584,0.205861,0.734786,0.082506,class2
0.752551,0.740746,0.852482,0.532286,0.267135,0.741728,0.68954,0.061898,0.523017,0.814801,class2
0.586384,0.421981,0.523029,0.318391,0.472962,0.412518,1.002686,0.405246,1.171104,-0.218374,class1
0.463733,0.746777,0.052491,0.249892,0.835661,0.175243,0.544684,0.223713,0.55033,0.47785,class2
0.163026,0.572588,0.895971,0.459876,0.676702,0.753937,0.224704,0.118862,0.577825,0.2476,class2
0.789582,0.739774,0.916472,0.541195,0.21975,0.724678,0.646381,0.053153,0.588542,0.850391,class2
0.24928,1.108716,0.553786,0.533115,0.615515,-0.046827,0.845864,0.307626,0.100741,0.650626,class1
0.564493,0.958875,0.338297,0.396777,0.179875,0.097883,-0.094503,0.238749,0.263705,0.457643,class1
0.344008,0.427948,0.354155,0.480995,0.530163,1.006907,0.60411,0.897256,0.507079,0.493626,class1
0.351154,0.319478,0.11879,0.605686,1.070046,0.782925,0.111764,0.134459,0.824856,0.533384,class2
0.04624,0.575673,0.661268,0.570628,0.30847,0.932833,0.623783,0.227462,0.419336,0.716251,class1
0.658898,0.770534,0.369399,0.812956,0.35379,0.593142,0.460913,0.335395,0.789837,0.618913,class2
0.429244,0.294615,0.433896,0.676846,0.407045,0.990819,0.789169,0.051148,0.6348,0.87946,class2
0.938907,0.746556,0.200714,0.840363,0.721099,0.224616,0.681547,0.903636,0.013627,0.120912,class2
0.763494,0.747952,0.860586,0.529746,0.271047,0.742344,0.692676,0.083185,0.505416,0.799141,class2
0.288488,0.44283,1.09499,0.336372,0.720552,0.330629,0.782705,0.359559,0.109878,0.156389,class2
0.054567,0.368231,0.171913,0.782632,0.435772,1.100677,0.807924,0.684823,1.032381,0.825532,class2
0.352309,0.387114,0.447782,0.0381,0.692762,0.563685,0.440121,0.459061,0.433323,0.471618,class1
0.413054,0.326423,0.322378,0.207721,0.914741,0.957922,0.553411,0.13829,0.192827,0.527231,class1
0.188216,0.934396,0.04277,0.40415,0.314016,0.35316,0.327723,0.488933,0.714948,0.262122,class2
0.369036,0.864424,0.539235,0.583295,0.042294,0.761628,0.623938,0.879205,0.450214,0.00484,class2
0.858552,-0.110229,0.375252,1.237131,0.547725,0.78797,0.385792,1.180168,0.53425,0.741363,class1
1.146585,0.350941,-0.14096,0.324887,0.836107,0.111755,0.133705,-0.053319,0.870559,0.67812,class2
0.764047,0.737201,0.836924,0.539433,0.252523,0.749319,0.709076,0.075933,0.516704,0.822486,class2
0.367362,0.409107,0.396737,0.051111,0.707306,0.582359,0.454516,0.47595,0.456659,0.503025,class1
0.437356,0.170575,0.49817,0.603836,0.491931,0.887617,0.726218,0.184946,0.505387,1.015094,class2
0.296417,1.150021,0.924386,0.465048,0.584016,0.053462,0.843913,0.395728,-0.147886,0.409026,class1
0.842916,0.295927,0.6606,0.71518,0.794994,0.448091,0.088508,0.471788,0.785392,0.089504,class2
0.682479,0.275559,0.650652,0.948664,0.2889,0.575037,0.331129,0.911423,0.623588,0.372465,class1
0.32676,1.012509,0.566529,0.722576,0.136566,0.306499,0.030728,0.254884,0.153466,0.696056,class1
0.388339,0.0941,0.513408,1.004946,1.083693,1.576916,-0.198072,0.074542,0.158495,0.030086,class2
0.610556,1.098283,0.595287,0.458495,0.178192,0.501146,0.731447,0.429529,0.845565,0.931341,class2
0.002817,0.293489,0.550575,0.862056,0.267491,0.774036,0.394825,0.250502,0.683704,0.247477,class1
0.08696,0.858112,0.770289,0.772156,0.645703,0.180154,0.963223,0.161663,0.093126,0.684368,class1
0.880975,0.500134,0.149621,0.029704,0.47144,0.824669,0.296452,0.472343,0.692183,0.227161,class1
0.040911,0.768739,-0.000431,0.05114,0.190458,0.642821,0.690346,0.256655,0.965695,0.158149,class1
0.702874,0.104656,1.014445,0.298618,0.971543,0.68775,0.325783,0.064247,0.964936,0.38432,class2
0.365724,0.530748,0.298035,0.572976,0.262854,0.952906,0.204209,0.463896,0.029922,0.843108,class1
0.69437,0.690386,0.832936,0.469469,0.214868,0.785251,0.675317,0.115528,0.489171,0.841117,class2
0.126584,0.606901,0.962179,0.477452,0.679783,0.741254,0.229247,0.10649,0.564724,0.274112,class2
0.169442,0.286251,0.223337,0.366803,0.779349,0.721303,0.334468,0.188807,-0.040029,0.715566,class1
0.378673,0.562457,0.313868,0.343342,0.56886,0.971341,0.543072,0.993316,0.436386,0.485338,class1
0.529099,0.18597,0.413907,0.525036,0.250485,0.882185,0.848363,0.219844,0.774097,0.77157,class2
0.226434,0.400546,0.198764,0.444143,0.309913,0.938791,0.693124,0.115597,0.381799,1.173008,class2
0.799875,0.513539,0.14133,0.56121,0.837725,1.455928,1.004604,-0.069463,0.846758,0.66513,class2
0.742434,0.725404,0.865281,0.548159,0.284293,0.734623,0.68915,0.084613,0.528111,0.802615,class2
0.498357,0.974137,0.593378,0.959541,0.397315,0.116441,0.955674,0.967204,0.468342,0.281075,class1
0.243593,0.725825,0.12237,0.030102,0.274403,0.763619,0.797148,0.138729,0.867406,-0.064988,class1
0.398087,0.255615,0.620051,-0.164944,0.524665,0.967846,0.638978,0.219152,0.124207,0.265006,class1
0.188943,0.50036,0.352457,0.896495,0.464586,0.326799,-0.027635,0.606633,0.134979,0.231653,class1
0.275185,0.491444,0.282393,0.56269,0.314266,0.905896,0.122397,0.447344,-0.047314,0.779652,class1
0.607722,0.33408,1.085003,0.354853,0.728813,-0.309712,0.203188,0.681449,0.696539,1.111421,class2
0.003974,0.952827,0.704972,0.984756,1.138013,0.685035,0.500678,-0.135964,0.096023,0.309602,class1
0.383867,0.470242,0.371543,0.401876,0.592157,0.865613,0.652631,0.885051,0.505343,0.531969,class1
0.299972,0.188399,0.665583,0.606282,0.169321,1.00395,1.020406,0.113437,0.807523,0.964656,class2
0.882429,0.509767,0.768079,0.370471,0.317735,0.847419,0.162923,1.017745,0.445251,0.909503,class2
0.58329,1.016215,0.356275,0.763223,0.19389,0.810543,0.749524,0.47584,0.586706,0.797081,class2
0.499807,0.139638,0.369221,0.218013,0.462898,0.993893,0.669234,-0.006724,0.060071,0.408775,class1
0.560652,0.492424,0.244874,0.282179,0.470812,0.91322,0.259782,0.379183,0.525082,0.021416,class1
0.855543,0.601131,0.786725,0.232322,0.272858,0.878741,0.064371,0.881741,0.451273,0.807637,class2
0.048999,0.025894,0.628917,0.952154,0.656142,1.083557,-0.093043,0.511825,1.194638,0.368125,class1
0.780426,0.653938,0.418621,0.691562,0.31032,0.792593,0.67794,0.257384,0.676872,0.698458,class2
0.349772,0.279859,0.53652,0.657849,0.472881,1.075331,0.795567,-0.067286,0.622305,0.994007,class2
0.391535,0.990948,0.638544,0.714489,0.213982,0.37018,0.029793,0.255873,0.192328,0.686083,class1
0.079827,0.639341,0.371518,0.996631,0.519984,-0.295625,1.379838,0.196966,0.087055,0.469004,class1
0.05861,0.019343,0.945281,0.220266,0.533805,0.987094,0.218815,0.248589,0.898995,0.616632,class1
0.003395,0.017528,0.832456,0.461235,0.778353,0.804824,0.017839,0.372687,0.732615,0.533001,class1
0.162669,-0.053668,0.46334,0.880767,0.906032,0.34119,0.36363,0.06575,0.892642,0.20876,class2
0.611433,0.887658,0.545732,0.781387,0.650522,0.737803,0.165932,0.108061,1.198793,0.715229,class2
0.005039,0.260922,0.70654,0.258034,0.7847,0.292064,0.778887,0.273684,0.264796,0.223332,class2
0.547758,0.29821,0.44478,0.714055,0.500936,1.119248,0.62651,-0.060748,0.634646,1.020729,class2
-0.067255,0.70683,0.199863,0.282334,1.218659,0.779679,0.397096,0.389494,0.709053,0.801822,class2
0.180337,1.060891,-0.041209,0.101259,-0.054848,1.060937,0.461429,0.47836,0.577466,-0.142798,class1
0.314035,-0.0198,0.343059,0.230597,0.655259,1.017511,0.822222,0.05788,0.212513,0.328367,class1
0.061165,0.717222,0.338079,-0.103606,0.352024,0.701691,0.754948,-0.034957,0.915583,0.175555,class1
-0.000493,0.373895,0.744242,0.657636,0.384073,0.365853,0.910176,0.710656,-0.189599,0.24312,class2
0.208012,0.387724,0.49996,0.391402,0.895028,0.931396,0.45578,0.437343,-0.051546,0.588971,class1
0.840902,0.276379,0.643789,0.731631,0.790414,0.482111,0.1147,0.539821,0.754519,0.039439,class2
-0.042985,1.346288,0.165975,1.117389,0.618631,0.693124,0.491409,0.305915,1.238892,0.292893,class1
0.10609,-0.081557,-0.034326,0.691746,0.612483,0.993877,0.823972,0.55337,0.711879,0.501816,class2
0.346327,0.382293,0.336236,0.398893,0.525086,1.077156,0.599747,0.914188,0.584911,0.428824,class1
0.386873,0.78795,0.50045,0.03556,0.320436,0.536056,0.837586,0.984202,0.476713,0.765757,class2
0.456584,0.950765,0.621207,0.941569,0.390386,0.135809,0.966026,1.000757,0.510112,0.326718,class1
0.15049,0.612265,0.627579,0.749924,0.091425,0.171088,0.238797,-0.225406,0.909639,0.256576,class2
1.072034,0.869428,0.442129,0.912092,-0.115541,0.250924,0.351193,1.830106,0.790538,-0.081444,class1
0.936331,0.153983,0.989781,0.519956,0.798116,0.041996,0.151194,0.369955,0.327881,0.766711,class1
0.384238,0.994078,0.615949,0.700785,0.197172,0.392793,0.046113,0.2798,0.192695,0.712056,class1
0.873398,0.194723,0.688819,0.71606,0.811907,0.519851,0.187558,0.482957,0.749775,0.021133,class2
-0.01591,0.397482,0.519341,0.419011,0.752517,1.151142,0.041072,0.234736,0.703342,0.630408,class2
0.687824,0.86471,0.382548,0.724273,0.359408,0.660802,0.574621,0.349134,0.862181,0.598212,class2
0.712869,-0.038168,0.398743,0.425577,0.322567,0.924234,-0.09822,1.192836,0.705158,0.716144,class1
0.675821,-0.091441,-0.289802,0.351771,0.38177,0.407309,1.506771,0.978525,0.766223,0.697242,class1
0.070524,0.148852,0.390157,0.92292,0.399216,0.9074,0.810418,0.743548,0.905076,0.534094,class2
-0.012291,-0.090962,-0.071349,0.608112,1.007848,0.475669,0.267717,0.394015,-0.114838,0.460406,class1
0.47101,0.122439,0.597345,-0.00531,0.81569,0.18664,0.637167,0.100354,0.894272,0.365132,class2
0.88334,0.686497,0.778868,0.223074,0.321596,0.828649,0.111975,0.865573,0.402233,0.783808,class2
0.35746,0.861977,0.536775,0.585879,0.053289,0.777794,0.63179,0.885682,0.45585,0.012094,class2
0.267882,0.303086,0.364876,0.496155,0.339521,1.178538,0.759207,0.267506,0.412682,1.164703,class2
0.157229,0.616538,0.67923,0.184487,0.684608,0.325392,0.092301,0.398871,-0.089497,0.899934,class2
0.257128,0.857879,0.182252,-0.306073,0.090817,0.958497,0.726651,0.378395,1.123067,0.007805,class1
0.253555,0.470497,0.276042,0.606757,0.928139,0.876154,0.225014,0.056561,0.77028,0.544786,class2
0.662645,0.940735,0.35529,0.915756,0.32704,0.517286,0.511162,0.132057,0.82097,0.606602,class2
0.534127,0.735002,0.062518,0.244839,0.762709,0.178119,0.621557,0.166005,0.619774,0.527904,class2
0.667446,0.751287,0.399882,0.795799,0.326966,0.611339,0.546389,0.311611,0.849882,0.648257,class2
0.069502,0.217789,0.158672,0.961034,0.524375,1.00229,0.981123,0.865722,0.973446,0.585664,class2
0.229379,0.468236,0.256375,0.599569,0.951375,0.885871,0.205285,0.069926,0.770174,0.542207,class2
0.857969,1.355342,0.869236,0.663914,-0.108188,0.494199,0.299659,0.812604,0.927651,1.05649,class2
-0.066573,0.713325,0.709494,0.793155,1.166675,1.209805,0.618092,0.45162,0.689793,0.247217,class2
-0.030631,0.612859,0.331034,0.934027,1.254147,0.974111,0.518584,0.11655,0.539179,0.730676,class2
0.76671,0.8723,0.471415,0.346191,0.357504,0.026147,0.486662,0.247655,0.586681,0.965575,class2
0.057074,0.325545,0.75611,0.604833,0.557766,0.9329,0.06018,0.58367,1.03969,0.123627,class1
0.009399,0.77605,0.613205,0.963874,0.657234,0.609726,0.062322,0.610159,0.772892,0.740902,class1
0.39282,0.830157,0.215937,0.142247,0.350128,0.910509,0.4489,0.077027,0.738202,-0.11762,class1
1.00734,0.241473,0.350169,0.015215,0.651313,0.739656,0.396356,0.332122,0.484516,-0.007687,class1
0.604117,0.29858,0.608795,0.708873,0.424778,1.254056,0.928872,-0.135971,0.781424,0.883886,class2
-0.158289,0.619137,0.799399,0.710009,1.0277,0.838633,0.196479,0.448133,0.826929,0.827497,class1
0.924326,0.400623,0.176092,0.082971,0.491738,0.866582,0.461648,0.526117,0.654843,0.134521,class1
0.476358,1.322589,0.497402,1.085574,0.126389,0.431199,1.102334,0.912487,0.385585,0.464701,class1
0.431362,0.446654,0.303591,0.405761,0.547128,1.074738,0.583567,0.922643,0.575751,0.435621,class1
0.052139,0.876698,0.321425,0.773751,0.578561,0.700011,0.317673,0.37247,0.768666,0.597772,class2
0.414497,0.753332,0.576085,-0.066463,0.360284,0.572718,0.953654,0.872548,0.421085,0.858401,class2
-0.125059,-0.076602,0.875035,0.177207,0.844247,0.750874,0.07868,0.48577,0.734141,0.575382,class1
0.272948,1.008368,0.640079,0.669085,0.084395,0.469949,0.019278,0.191015,0.120678,0.82074,class1
0.108033,0.068162,0.480736,0.855319,0.969239,0.351805,0.28254,0.042904,0.829827,0.126602,class2
0.97602,0.15466,0.893343,0.564338,0.92662,0.194827,0.27191,0.5145,0.267221,0.874451,class1
0.131381,-0.015688,0.525323,0.380581,1.028018,0.960477,0.277098,0.136382,-0.07376,0.539905,class1
0.473017,0.050752,0.543276,0.084597,0.645127,0.855951,0.796972,0.015004,0.052806,0.437403,class1
0.196781,0.524111,0.130673,0.480577,0.515069,0.814022,0.052065,0.532652,0.224792,0.838859,class1
0.98722,0.30227,0.112907,0.25845,0.615306,0.950044,0.461873,0.621577,0.482305,0.045822,class1
0.478649,1.032171,0.495052,0.955305,0.486506,0.137206,0.968708,0.905181,0.468282,0.278396,class1
0.378244,1.00318,0.594359,0.710336,0.202227,0.402375,0.023262,0.270944,0.198419,0.736081,class1
0.636081,0.799018,0.777786,0.437764,0.336161,0.401963,-0.198521,0.028844,-0.013796,0.551257,class1
0.519911,0.706899,0.025475,0.261763,0.789432,0.221539,0.606539,0.141164,0.587029,0.498684,class2
0.592508,-0.551326,1.339514,-0.094405,0.179418,0.827098,0.089813,-0.030614,0.369247,0.76514,class1
0.403625,-0.010444,0.546514,-0.017034,0.736472,0.838086,0.756646,0.064157,0.074076,0.363906,class1
0.764256,0.74408,0.838016,0.528787,0.286352,0.740456,0.676562,0.074134,0.529758,0.815141,class2
0.267188,0.224915,0.300937,0.372658,0.861557,0.799489,0.392387,0.261621,0.03185,0.667105,class1
0.747077,0.741356,0.849478,0.533563,0.267683,0.747503,0.694057,0.066575,0.519621,0.811417,class2
-0.154794,0.926562,1.147831,0.447956,0.78191,1.123884,0.702092,0.423289,0.561742,0.658709,class1
0.357948,0.468456,0.316676,0.430488,0.520709,0.985183,0.61902,0.91487,0.495529,0.477675,class1
0.837289,0.241525,0.659346,0.70414,0.786106,0.450831,0.140814,0.495034,0.758742,0.047053,class2
